sn,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23
1,2,1,4,2,2,2,3,1,1,2,1,2,2,2,2,3,1,2,3,2,2,2,5
2,1,1,4,3,2,2,2,2,5,2,2,3,1,3,4,3,2,2,3,4,4,4,2
3,2,3,2,2,4,1,2,2,2,2,3,3,2,4,2,3,2,3,1,4,3,2,2
4,3,1,1,4,3,3,4,2,2,4,2,2,2,3,3,3,2,4,2,4,4,4,3
5,2,1,3,2,2,3,3,2,4,2,2,3,3,2,2,2,2,3,3,4,2,4,4
6,2,1,3,2,4,4,4,2,4,3,2,4,3,3,5,2,3,5,1,5,3,1,4
7,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,4,4
8,2,2,3,2,2,2,2,2,4,2,2,3,2,2,3,2,2,2,4,3,2,4,4
9,3,3,1,4,5,3,5,5,3,3,5,5,5,5,5,5,5,5,2,5,5,3,3
10,2,4,4,3,2,1,2,2,3,2,2,3,2,1,2,3,2,2,3,3,2,4,4
11,2,1,5,2,2,1,2,2,5,2,1,3,1,2,1,2,2,2,5,3,2,5,5
12,2,1,3,3,4,3,3,1,3,2,2,3,2,2,3,3,2,2,3,4,3,4,4
13,3,1,3,4,3,2,3,3,2,3,3,4,4,4,4,4,3,3,2,4,4,3,4
14,2,2,1,2,2,2,3,2,2,3,2,4,2,4,4,4,2,4,1,5,5,3,1
15,2,2,3,4,2,2,3,2,2,3,2,3,2,3,3,4,2,3,3,4,4,4,4
16,3,1,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,4
17,1,2,5,2,1,1,1,1,4,1,1,2,1,1,1,2,2,1,4,2,1,4,4
18,2,2,3,3,3,4,3,2,5,2,3,3,3,3,4,3,2,2,2,3,3,3,4
19,2,3,4,2,3,1,1,1,5,2,1,3,1,2,2,3,1,1,4,2,2,4,4
20,2,1,1,2,3,4,4,1,5,1,2,5,2,5,5,5,2,5,1,5,5,5,5
21,1,2,3,2,4,1,2,1,1,1,1,4,1,1,1,2,1,1,2,4,3,2,5
22,3,2,2,4,4,5,5,2,3,3,3,3,4,3,2,3,4,4,2,5,5,2,4
23,2,1,4,4,2,2,4,3,4,2,3,3,2,4,4,4,3,3,2,3,4,3,5
24,1,1,2,2,2,1,1,2,2,1,2,4,3,2,4,2,2,1,1,5,2,4,5
25,2,1,1,4,2,3,3,4,1,2,3,3,2,3,3,2,3,3,1,3,3,2,3
26,2,1,3,3,2,1,4,2,3,2,2,2,2,2,3,2,3,2,2,5,4,3,3
