government,p,s,r,u
Lubbers1,0.33,0.83,1,0.83
Lubbers2,0.17,0.33,1,0.33
Lubbers3,0.33,0.67,0.6,0.67
Kok1,0.17,0.4,0.4,0.67
Kok2,0.33,0.33,0.4,0.17
Balkenende2,0.67,0.67,1,0.83
Kohl1,0.17,0.33,1,0.33
Kohl2,0.33,0.17,1,0.17
Kohl3,0.17,0.33,1,0.33
Kohl4,0.67,0.67,1,0.67
Schroeder1,0.33,0.4,0,0.17
Schroeder2,0.83,0.83,0,0.83
Schlueter1,0.33,0.33,1,0.33
Schlueter2,0.33,0.6,1,0.67
Schlueter4,0.33,0.67,1,0.17
Schlueter5,0.6,0.67,1,0.33
NRasmussen1,0.17,0.17,0.4,0.17
NRasmussen2_3,0.6,0.6,0.25,0.83
NRasmussen4,0.33,0.33,0.25,0.67
Thatcher1,0.17,0.83,1,0.83
Thatcher2,0.33,0.33,1,0.67
Thatcher3,0.33,0.67,1,0.67
Major1,0.33,0.6,1,0.67
Blair1,0.17,0.33,0,0.4
Blair2,0.33,0.33,0,0.33
