,preference,nutrition_value,taste,preservative_quality,gender,region
13,1,1,2,1,1,1
6,2,2,1,2,1,1
14,2,2,3,1,1,1
23,2,2,1,1,1,1
27,2,1,1,2,1,1
33,2,1,1,2,1,1
7,3,3,2,3,1,2
12,3,6,2,3,1,1
17,3,2,1,3,0,1
22,3,2,3,4,1,2
34,3,2,1,1,0,2
5,4,3,2,4,0,1
11,4,4,3,2,1,1
15,4,5,4,3,1,1
16,4,4,5,4,1,2
28,4,2,1,2,0,1
35,4,3,2,2,0,1
39,4,3,2,3,0,1
3,5,5,7,4,0,1
10,5,6,5,4,1,1
24,5,5,4,4,1,2
32,5,4,4,4,1,2
40,5,3,4,3,1,2
2,6,4,6,6,1,2
4,6,6,7,5,1,1
8,6,5,6,5,1,2
18,6,7,5,4,1,1
19,6,5,5,6,1,2
25,6,5,6,4,1,2
29,6,4,5,5,1,2
31,6,3,6,5,1,2
36,6,5,7,6,1,1
1,7,5,6,5,1,2
9,7,7,7,6,1,2
20,7,6,4,5,0,2
21,7,5,6,6,1,2
26,7,6,5,7,0,1
30,7,6,5,5,0,2
37,7,6,7,6,1,2
38,7,5,6,7,1,2
