schcode,Rid,id,female,ses,femses,math,ses_mean,pro4yrc,public
1,1,6701,1,0.586,0.586,47.14,-0.26675,0.083333333,0
1,2,6702,1,0.304,0.304,63.61,-0.26675,0.083333333,0
1,3,6703,1,-0.544,-0.544,57.71,-0.26675,0.083333333,0
1,4,6704,0,-0.848,0,53.9,-0.26675,0.083333333,0
1,5,6705,0,0.001,0,58.01,-0.26675,0.083333333,0
1,6,6706,0,-0.106,0,59.87,-0.26675,0.083333333,0
1,7,6707,0,-0.33,0,62.5556,-0.26675,0.083333333,0
1,8,6708,1,-0.891,-0.891,47.01,-0.26675,0.083333333,0
1,9,6709,0,0.207,0,72.42,-0.26675,0.083333333,0
1,10,6710,1,-0.341,-0.341,65.84,-0.26675,0.083333333,0
1,11,6711,0,-0.171,0,57.34,-0.26675,0.083333333,0
1,12,6712,1,-1.068,-1.068,62.5556,-0.26675,0.083333333,0
2,1,3703,0,-0.105,0,61.9528,0.679923077,1,0
2,2,3704,0,1.28,0,70.22,0.679923077,1,0
2,3,3705,0,1.056,0,58.78,0.679923077,1,0
2,4,3706,0,0.8,0,65.54,0.679923077,1,0
2,5,3707,0,0.733,0,59.77,0.679923077,1,0
2,6,3708,0,0.13,0,64.07,0.679923077,1,0
2,7,3709,0,0.682,0,61.9528,0.679923077,1,0
2,8,3710,0,0.917,0,66.83,0.679923077,1,0
2,9,3711,0,0.81,0,69.41,0.679923077,1,0
2,10,3712,0,0.518,0,56.51,0.679923077,1,0
2,11,3713,0,0.464,0,57.22,0.679923077,1,0
2,12,3714,0,0.552,0,64.89,0.679923077,1,0
2,13,3715,0,1.002,0,70.12,0.679923077,1,0
3,1,861,1,-0.302,-0.302,48.76,-0.548,0.333333333,0
3,2,862,1,-0.648,-0.648,44.65,-0.548,0.333333333,0
3,3,863,1,-0.448,-0.448,60.5929,-0.548,0.333333333,0
3,4,864,1,-0.096,-0.096,44.99,-0.548,0.333333333,0
3,5,865,1,-0.291,-0.291,50.9,-0.548,0.333333333,0
3,6,866,0,-1.65,0,42.94,-0.548,0.333333333,0
3,7,867,0,-1.125,0,50.67,-0.548,0.333333333,0
3,8,868,1,-1.872,-1.872,39.67,-0.548,0.333333333,0
3,9,869,1,-0.602,-0.602,37.8,-0.548,0.333333333,0
3,10,870,0,-0.922,0,44.1,-0.548,0.333333333,0
3,11,871,1,0.228,0.228,57.23,-0.548,0.333333333,0
3,12,872,1,0.401,0.401,40.97,-0.548,0.333333333,0
3,13,873,0,-0.119,0,37.62,-0.548,0.333333333,0
3,14,874,0,-0.45,0,60.5929,-0.548,0.333333333,0
3,15,875,1,-0.246,-0.246,52.25,-0.548,0.333333333,0
3,16,876,0,-0.868,0,60.5929,-0.548,0.333333333,0
3,17,877,1,-0.986,-0.986,41.6,-0.548,0.333333333,0
3,18,878,0,0.132,0,40.34,-0.548,0.333333333,0
4,1,6799,1,0.966,0.966,62.7079,0.815941176,1,0
4,2,6800,1,0.823,0.823,62.7079,0.815941176,1,0
4,3,6801,1,-0.212,-0.212,62.7079,0.815941176,1,0
4,4,6802,1,0.895,0.895,62.7079,0.815941176,1,0
4,5,6803,1,1.065,1.065,69.04,0.815941176,1,0
4,6,6804,1,1.251,1.251,78.98,0.815941176,1,0
4,7,6805,1,0.761,0.761,62.7079,0.815941176,1,0
4,8,6806,1,0.9,0.9,62.7079,0.815941176,1,0
4,9,6807,1,1.238,1.238,62.7079,0.815941176,1,0
4,10,6808,1,0.268,0.268,62.7079,0.815941176,1,0
