ZIdeal,Effect,LLCI,ULCI
-2.5343,.6719,.2722,1.0716
-2.2809,.635,.269,1.001
-2.0275,.5981,.265,.9312
-1.7742,.5612,.2603,.8622
-1.5208,.5243,.2543,.7943
-1.2674,.4874,.2467,.7281
-1.014,.4505,.2368,.6642
-.7606,.4136,.2236,.6036
-.5072,.3767,.2057,.5476
-.2538,.3398,.1816,.498
-.0004,.3029,.1494,.4563
.2529,.266,.1086,.4233
.5063,.2291,.0598,.3984
.7597,.1922,.0044,.38
.7788,.1894,0,.3788
1.0131,.1553,-.0558,.3664
1.2665,.1184,-.1195,.3562
1.5199,.0815,-.1855,.3484
1.7733,.0446,-.2532,.3423
2.0267,.0076,-.3221,.3374
2.28,-.0293,-.3919,.3333
2.5334,-.0662,-.4623,.33
