BMI, LargeQuantModel, SmallQuantModel, Candies
20.5, 0, 1, 11
28.6, 0, 1, 9
23.1, 0, 1, 7
26.6, 0, 1, 10
21.5, 0, 1, 9
28.1, 0, 1, 8
18.6, 0, 1, 11
21.1, 0, 1, 6
25.9, 0, 1, 0
21.3, 0, 1, 9
22.5, 0, 1, 7
20.2, 0, 1, 8
22.8, 0, 1, 9
17.7, 0, 1, 7
24.2, 0, 1, 10
22.2, 0, 1, 10
22.7, 0, 1, 7
21., 0, 1, 11
23.5, 0, 1, 2
22.7, 0, 1, 5
19.3, 0, 1, 4
26.5, 0, 1, 11
24.7, 0, 1, 7
18.1, 0, 1, 3
23., 0, 1, 3
19.4, 0, 1, 6
17.8, 0, 1, 5
21., 0, 1, 9
22.8, 0, 1, 0
19.8, 0, 1, 7
21.3, 0, 1, 11
24.9, 0, 1, 12
27.5, 0, 1, 15
23.9, 0, 1, 12
24.5, 0, 1, 16
22.3, 0, 1, 9
19.4, 0, 1, 8
20.2, 0, 1, 4
23.2, 0, 1, 7
20.3, 0, 1, 10
23.9, 0, 1, 7
21.7, 0, 1, 4
17.8, 0, 1, 9
21.3, 0, 1, 11
21.8, 0, 1, 17
19.3, 0, 1, 6
29., 0, 1, 2
22., 0, 1, 7
19.5, 0, 1, 6
27.8, 0, 1, 13
22.3, 1, 0, 16
18.6, 1, 0, 15
22.9, 1, 0, 10
23.9, 1, 0, 9
22.3, 1, 0, 13
18.6, 1, 0, 17
19.7, 1, 0, 15
22.4, 1, 0, 4
17.6, 1, 0, 19
21.7, 1, 0, 18
19.1, 1, 0, 15
24.8, 1, 0, 12
20.5, 1, 0, 18
19.3, 1, 0, 14
25.9, 1, 0, 7
20.3, 1, 0, 15
26.2, 1, 0, 14
21.1, 1, 0, 13
23.7, 1, 0, 16
18.3, 1, 0, 14
20.5, 1, 0, 15
22.8, 1, 0, 23
20.1, 1, 0, 13
16.5, 1, 0, 14
19.2, 1, 0, 20
28.7, 1, 0, 10
19.4, 1, 0, 12
23.4, 1, 0, 20
20.8, 1, 0, 14
22.9, 1, 0, 6
22.1, 1, 0, 17
19.9, 1, 0, 15
28.3, 1, 0, 12
22.6, 1, 0, 12
17.6, 1, 0, 11
23.7, 1, 0, 13
24.1, 1, 0, 16
17.7, 1, 0, 15
24.1, 1, 0, 14
23.4, 1, 0, 17
18.7, 1, 0, 19
21.9, 1, 0, 15
26., 1, 0, 9
18.1, 1, 0, 13
22.7, 1, 0, 12
20.2, 1, 0, 15
19.2, 1, 0, 13
18., 1, 0, 15
24.7, 1, 0, 18
21.5, 1, 0, 14
23.6, 0, 0, 9
25.8, 0, 0, 7
17.8, 0, 0, 10
20.7, 0, 0, 9
17.5, 0, 0, 6
18.9, 0, 0, 11
25., 0, 0, 9
17.6, 0, 0, 9
21.5, 0, 0, 8
19.6, 0, 0, 11
21.9, 0, 0, 6
17.3, 0, 0, 11
28.3, 0, 0, 13
28.1, 0, 0, 11
25.5, 0, 0, 11
23.5, 0, 0, 13
18.2, 0, 0, 4
19., 0, 0, 12
24.2, 0, 0, 13
25.2, 0, 0, 7
22.3, 0, 0, 7
28.9, 0, 0, 7
20.8, 0, 0, 7
18.7, 0, 0, 13
20.9, 0, 0, 8
18.4, 0, 0, 8
18.7, 0, 0, 12
20.4, 0, 0, 13
21.6, 0, 0, 14
20.1, 0, 0, 12
21., 0, 0, 8
22.4, 0, 0, 8
22., 0, 0, 12
21., 0, 0, 12
23.1, 0, 0, 10
21.1, 0, 0, 9
20.1, 0, 0, 8
18.1, 0, 0, 11
17.2, 0, 0, 9
23.7, 0, 0, 10
20., 0, 0, 7
21.6, 0, 0, 3
19.4, 0, 0, 11
19.1, 0, 0, 8
26.3, 0, 0, 8
22.6, 0, 0, 10
22.8, 0, 0, 10
22.2, 0, 0, 18
19.9, 0, 0, 12
21.5, 0, 0, 7
